Date,City,Period,O3,NO2,PM10,PM2.5
2020-03-06,Manchester,Pandemic,18,64,26,16
2020-03-06,Sheffield,Pandemic,36,45,23,13
2020-03-07,Edinburgh,Pandemic,74,6,5,3
2020-03-07,London,Pandemic,47,29,18,12
2020-03-07,Manchester,Pandemic,34,37,15,8
2020-03-07,Sheffield,Pandemic,64,18,34,10
2020-03-08,Edinburgh,Pandemic,75,7,5,3
2020-03-08,London,Pandemic,73,12,8,5
2020-03-08,Manchester,Pandemic,48,25,9,5
2020-03-08,Sheffield,Pandemic,75,11,6,3
2020-03-09,Edinburgh,Pandemic,68,11,6,3
2020-03-09,London,Pandemic,60,19,9,5
2020-03-09,Manchester,Pandemic,42,31,15,8
2020-03-09,Sheffield,Pandemic,68,13,10,5
2020-03-10,Edinburgh,Pandemic,68,18,9,5
2020-03-10,London,Pandemic,54,13,2,1
2020-03-10,Manchester,Pandemic,38,28,11,6
2020-03-10,Sheffield,Pandemic,69,9,5,3
2020-03-11,Edinburgh,Pandemic,76,10,8,4
2020-03-11,London,Pandemic,72,13,5,3
2020-03-11,Manchester,Pandemic,42,32,13,6
2020-03-11,Sheffield,Pandemic,70,13,9,4
2020-03-12,Edinburgh,Pandemic,64,15,5,3
2020-03-12,London,Pandemic,66,13,12,6
2020-03-12,Manchester,Pandemic,54,21,16,6
2020-03-12,Sheffield,Pandemic,75,7,10,4
2020-03-13,Edinburgh,Pandemic,67,18,18,7
2020-03-13,London,Pandemic,61,19,13,6
2020-03-13,Manchester,Pandemic,40,35,13,7
2020-03-13,Sheffield,Pandemic,61,20,9,5
2020-03-14,Edinburgh,Pandemic,68,8,7,5
2020-03-14,London,Pandemic,68,13,7,4
2020-03-14,Manchester,Pandemic,36,35,10,6
2020-03-14,Sheffield,Pandemic,58,20,9,6
2020-03-15,Edinburgh,Pandemic,70,12,5,3
2020-03-15,London,Pandemic,67,17,6,4
2020-03-15,Manchester,Pandemic,56,18,10,5
2020-03-15,Sheffield,Pandemic,77,9,7,4
2020-03-16,Edinburgh,Pandemic,67,8,6,3
2020-03-16,London,Pandemic,40,32,11,6
2020-03-16,Manchester,Pandemic,45,30,16,7
2020-03-16,Sheffield,Pandemic,71,11,10,5
2020-03-17,Edinburgh,Pandemic,60,13,8,4
2020-03-17,London,Pandemic,62,17,12,6
2020-03-17,Manchester,Pandemic,44,26,8,3
2020-03-17,Sheffield,Pandemic,63,16,13,4
2020-03-18,Edinburgh,Pandemic,66,16,9,4
2020-03-18,London,Pandemic,59,16,11,6
2020-03-18,Manchester,Pandemic,46,28,11,5
2020-03-18,Sheffield,Pandemic,64,16,7,3
2020-03-19,Edinburgh,Pandemic,50,21,11,5
2020-03-19,London,Pandemic,46,23,13,10
2020-03-19,Manchester,Pandemic,26,47,20,10
2020-03-19,Sheffield,Pandemic,45,32,17,9
2020-03-20,Edinburgh,Pandemic,54,18,11,4
2020-03-20,London,Pandemic,66,13,10,5
2020-03-20,Manchester,Pandemic,42,29,17,9
2020-03-20,Sheffield,Pandemic,55,23,16,8
2020-03-21,Edinburgh,Pandemic,72,7,10,4
2020-03-21,London,Pandemic,62,15,13,7
2020-03-21,Manchester,Pandemic,50,25,15,7
2020-03-21,Sheffield,Pandemic,62,17,18,8
2020-03-22,Edinburgh,Pandemic,63,9,17,12
2020-03-22,London,Pandemic,57,15,17,10
2020-03-22,Manchester,Pandemic,47,22,18,11
2020-03-22,Sheffield,Pandemic,62,13,20,12
2020-03-23,Edinburgh,Pandemic,63,14,19,13
2020-03-23,London,Pandemic,45,35,21,12
2020-03-23,Manchester,Pandemic,31,46,24,13
2020-03-23,Sheffield,Pandemic,38,32,25,15
2020-03-24,Edinburgh,Pandemic,73,9,22,15
2020-03-24,London,Pandemic,62,27,19,13
2020-03-24,Manchester,Pandemic,41,38,34,21
2020-03-24,Sheffield,Pandemic,51,26,39,24
2020-03-25,Edinburgh,Pandemic,66,13,15,10
2020-03-25,London,Pandemic,47,44,31,21
2020-03-25,Manchester,Pandemic,41,44,32,20
2020-03-25,Sheffield,Pandemic,53,33,39,24
2020-03-26,Edinburgh,Pandemic,67,11,6,5
2020-03-26,London,Pandemic,70,23,38,28
2020-03-26,Manchester,Pandemic,37,47,41,27
2020-03-26,Sheffield,Pandemic,53,32,44,30
2020-03-27,Edinburgh,Pandemic,75,8,4,3
2020-03-27,London,Pandemic,88,15,39,29
2020-03-27,Manchester,Pandemic,67,28,39,29
2020-03-27,Sheffield,Pandemic,80,20,49,37
2020-03-28,Edinburgh,Pandemic,66,13,10,5
2020-03-28,London,Pandemic,93,8,21,14
2020-03-28,Manchester,Pandemic,68,12,15,8
2020-03-28,Sheffield,Pandemic,82,7,16,10
2020-03-29,Edinburgh,Pandemic,76,9,8,4
2020-03-29,London,Pandemic,84,5,13,6
2020-03-29,Manchester,Pandemic,68,11,12,6
2020-03-29,Sheffield,Pandemic,83,6,13,6
2020-03-30,Edinburgh,Pandemic,63,16,5,2
2020-03-30,London,Pandemic,73,11,10,5
2020-03-30,Manchester,Pandemic,46,29,14,7
2020-03-30,Sheffield,Pandemic,77,9,9,5
2020-03-31,Edinburgh,Pandemic,66,16,4,2
2020-03-31,London,Pandemic,76,14,13,7
2020-03-31,Manchester,Pandemic,59,17,8,4
2020-03-31,Sheffield,Pandemic,65,18,13,8
2020-04-01,Edinburgh,Pandemic,69,17,5,3
2020-04-01,London,Pandemic,61,25,13,8
2020-04-01,Manchester,Pandemic,64,15,13,6
2020-04-01,Sheffield,Pandemic,74,11,11,7
2020-04-02,Edinburgh,Pandemic,80,12,7,3
2020-04-02,London,Pandemic,65,16,8,5
2020-04-02,Manchester,Pandemic,65,11,16,8
2020-04-02,Sheffield,Pandemic,79,8,16,6
2020-04-03,Edinburgh,Pandemic,71,12,6,3
2020-04-03,London,Pandemic,57,23,12,7
2020-04-03,Manchester,Pandemic,62,16,15,7
2020-04-03,Sheffield,Pandemic,76,11,14,7
2020-04-04,Edinburgh,Pandemic,77,5,6,4
2020-04-04,London,Pandemic,62,19,13,10
2020-04-04,Manchester,Pandemic,55,17,11,7
2020-04-04,Sheffield,Pandemic,62,17,14,9
2020-04-05,Edinburgh,Pandemic,80,7,11,7
2020-04-05,London,Pandemic,85,12,14,9
2020-04-05,Manchester,Pandemic,72,12,15,8
2020-04-05,Sheffield,Pandemic,76,13,19,12
2020-04-06,Edinburgh,Pandemic,69,5,9,5
2020-04-06,London,Pandemic,74,15,10,6
2020-04-06,Manchester,Pandemic,60,13,13,6
2020-04-06,Sheffield,Pandemic,72,11,12,7
2020-04-07,Edinburgh,Pandemic,68,5,10,6
2020-04-07,London,Pandemic,57,33,19,11
2020-04-07,Manchester,Pandemic,37,35,19,10
2020-04-07,Sheffield,Pandemic,54,24,18,9
2020-04-08,Edinburgh,Pandemic,77,8,8,4
2020-04-08,London,Pandemic,67,40,46,34
2020-04-08,Manchester,Pandemic,44,36,22,12
2020-04-08,Sheffield,Pandemic,66,22,22,12
2020-04-09,Edinburgh,Pandemic,64,6,11,6
2020-04-09,London,Pandemic,68,38,50,40
2020-04-09,Manchester,Pandemic,46,25,20,13
2020-04-09,Sheffield,Pandemic,55,16,24,16
2020-04-10,Edinburgh,Pandemic,39,20,18,14
2020-04-10,London,Pandemic,68,34,36,27
2020-04-10,Manchester,Pandemic,71,21,34,24
2020-04-10,Sheffield,Pandemic,80,14,31,22
2020-04-11,Edinburgh,Pandemic,70,12,10,8
2020-04-11,London,Pandemic,69,30,27,19
2020-04-11,Manchester,Pandemic,63,16,27,20
2020-04-11,Sheffield,Pandemic,87,10,25,17
2020-04-12,Edinburgh,Pandemic,78,6,12,6
2020-04-12,London,Pandemic,91,15,25,19
2020-04-12,Manchester,Pandemic,44,16,17,13
2020-04-12,Sheffield,Pandemic,58,15,16,11
2020-04-13,Edinburgh,Pandemic,80,9,15,7
2020-04-13,London,Pandemic,84,6,14,7
2020-04-13,Manchester,Pandemic,71,8,17,8
2020-04-13,Sheffield,Pandemic,83,6,17,8
2020-04-14,Edinburgh,Pandemic,74,12,15,9
2020-04-14,London,Pandemic,85,12,13,7
2020-04-14,Manchester,Pandemic,54,22,22,12
2020-04-14,Sheffield,Pandemic,67,17,18,11
2020-04-15,Edinburgh,Pandemic,72,13,12,8
2020-04-15,London,Pandemic,74,29,25,17
2020-04-15,Manchester,Pandemic,43,35,31,19
2020-04-15,Sheffield,Pandemic,59,29,24,13
2020-04-16,Edinburgh,Pandemic,67,8,10,6
2020-04-16,London,Pandemic,63,38,46,34
2020-04-16,Manchester,Pandemic,58,30,31,19
2020-04-16,Sheffield,Pandemic,71,24,32,20
2020-04-17,Edinburgh,Pandemic,80,5,12,6
2020-04-17,London,Pandemic,79,15,17,10
2020-04-17,Manchester,Pandemic,67,12,22,12
2020-04-17,Sheffield,Pandemic,73,13,20,11
2020-04-18,Edinburgh,Pandemic,87,4,12,6
2020-04-18,London,Pandemic,61,18,20,14
2020-04-18,Manchester,Pandemic,58,14,15,8
2020-04-18,Sheffield,Pandemic,72,11,17,9
2020-04-19,Edinburgh,Pandemic,80,5,11,6
2020-04-19,London,Pandemic,76,13,16,9
2020-04-19,Manchester,Pandemic,71,11,14,8
2020-04-19,Sheffield,Pandemic,79,11,14,8
2020-04-20,Edinburgh,Pandemic,81,6,10,5
2020-04-20,London,Pandemic,80,12,21,9
2020-04-20,Manchester,Pandemic,71,11,20,7
2020-04-20,Sheffield,Pandemic,76,13,22,9
2020-04-21,Edinburgh,Pandemic,82,6,12,6
2020-04-21,London,Pandemic,86,12,27,10
2020-04-21,Manchester,Pandemic,73,11,23,10
2020-04-21,Sheffield,Pandemic,79,14,27,11
2020-04-22,Edinburgh,Pandemic,82,6,15,7
2020-04-22,London,Pandemic,84,15,28,14
2020-04-22,Manchester,Pandemic,72,15,29,12
2020-04-22,Sheffield,Pandemic,77,15,32,14
2020-04-23,Edinburgh,Pandemic,83,13,12,7
2020-04-23,London,Pandemic,87,22,31,18
2020-04-23,Manchester,Pandemic,71,17,37,24
2020-04-23,Sheffield,Pandemic,74,15,23,11
2020-04-24,Edinburgh,Pandemic,70,17,18,13
2020-04-24,London,Pandemic,92,20,28,17
2020-04-24,Manchester,Pandemic,71,21,21,13
2020-04-24,Sheffield,Pandemic,71,16,23,13
2020-04-25,Edinburgh,Pandemic,82,9,22,17
2020-04-25,London,Pandemic,86,15,16,12
2020-04-25,Manchester,Pandemic,63,15,21,14
2020-04-25,Sheffield,Pandemic,78,12,20,14
2020-04-26,Edinburgh,Pandemic,72,7,8,5
2020-04-26,London,Pandemic,89,12,15,11
2020-04-26,Manchester,Pandemic,78,11,29,21
2020-04-26,Sheffield,Pandemic,96,12,33,21
2020-04-27,Edinburgh,Pandemic,75,6,5,2
2020-04-27,London,Pandemic,73,19,22,16
2020-04-27,Manchester,Pandemic,66,9,8,3
2020-04-27,Sheffield,Pandemic,72,11,10,5
2020-04-28,Edinburgh,Pandemic,69,5,8,4
2020-04-28,London,Pandemic,66,14,6,5
2020-04-28,Manchester,Pandemic,56,17,10,6
2020-04-28,Sheffield,Pandemic,66,15,11,6
2020-04-29,Edinburgh,Pandemic,60,7,8,5
2020-04-29,London,Pandemic,62,11,9,6
2020-04-29,Manchester,Pandemic,46,21,7,4
2020-04-29,Sheffield,Pandemic,45,22,12,10
2020-04-30,Edinburgh,Pandemic,63,10,11,8
2020-04-30,London,Pandemic,65,8,8,4
2020-04-30,Manchester,Pandemic,54,14,9,3
2020-04-30,Sheffield,Pandemic,65,11,6,3
2020-05-01,Edinburgh,Pandemic,69,12,8,6
2020-05-01,London,Pandemic,67,9,7,4
2020-05-01,Manchester,Pandemic,56,12,9,4
2020-05-01,Sheffield,Pandemic,74,10,6,3
2020-05-02,Edinburgh,Pandemic,67,9,5,3
2020-05-02,London,Pandemic,71,11,6,4
2020-05-02,Manchester,Pandemic,58,12,8,4
2020-05-02,Sheffield,Pandemic,77,8,7,4
2020-05-03,Edinburgh,Pandemic,71,4,9,6
2020-05-03,London,Pandemic,66,16,9,6
2020-05-03,Manchester,Pandemic,48,18,12,8
2020-05-03,Sheffield,Pandemic,52,18,13,10
2020-05-04,Edinburgh,Pandemic,77,4,7,4
2020-05-04,London,Pandemic,83,13,11,8
2020-05-04,Manchester,Pandemic,52,16,17,12
2020-05-04,Sheffield,Pandemic,58,18,23,17
2020-05-05,Edinburgh,Pandemic,74,8,5,3
2020-05-05,London,Pandemic,80,10,11,5
2020-05-05,Manchester,Pandemic,68,12,11,6
2020-05-05,Sheffield,Pandemic,67,17,16,7
2020-05-06,Edinburgh,Pandemic,72,10,9,6
2020-05-06,London,Pandemic,80,19,16,9
2020-05-06,Manchester,Pandemic,62,19,12,6
2020-05-06,Sheffield,Pandemic,65,17,19,9
2020-05-07,Edinburgh,Pandemic,79,11,11,7
2020-05-07,London,Pandemic,82,22,18,12
2020-05-07,Manchester,Pandemic,63,24,20,12
2020-05-07,Sheffield,Pandemic,73,20,25,12
2020-05-08,Edinburgh,Pandemic,65,11,7,5
2020-05-08,London,Pandemic,96,23,17,12
2020-05-08,Manchester,Pandemic,55,14,15,11
2020-05-08,Sheffield,Pandemic,59,16,14,9
2020-05-09,Edinburgh,Pandemic,54,9,7,5
2020-05-09,London,Pandemic,94,32,31,24
2020-05-09,Manchester,Pandemic,49,16,11,8
2020-05-09,Sheffield,Pandemic,70,15,15,11
2020-05-10,Edinburgh,Pandemic,68,NA,8,3
2020-05-10,London,Pandemic,86,10,21,13
2020-05-10,Manchester,Pandemic,60,8,15,5
2020-05-10,Sheffield,Pandemic,72,5,12,6
2020-05-11,Edinburgh,Pandemic,70,NA,5,3
2020-05-11,London,Pandemic,63,6,11,4
2020-05-11,Manchester,Pandemic,58,12,11,4
2020-05-11,Sheffield,Pandemic,64,11,12,5
2020-05-12,Edinburgh,Pandemic,68,NA,6,3
2020-05-12,London,Pandemic,67,14,11,5
2020-05-12,Manchester,Pandemic,48,21,14,7
2020-05-12,Sheffield,Pandemic,71,12,19,5
2020-05-13,Edinburgh,Pandemic,62,NA,5,3
2020-05-13,London,Pandemic,71,9,10,4
2020-05-13,Manchester,Pandemic,55,14,9,4
2020-05-13,Sheffield,Pandemic,62,10,11,5
