Date,City,Pollutant,Concentration,Year,Month,YearMonth,Period
2020-01-09,Edinburgh,O3,36,2020,1,2020-01-01,Pandemic
2020-01-09,Edinburgh,NO2,41,2020,1,2020-01-01,Pandemic
2020-01-09,Edinburgh,PM10,10,2020,1,2020-01-01,Pandemic
2020-01-09,Edinburgh,PM2.5,6,2020,1,2020-01-01,Pandemic
2020-01-09,London,NO2,17,2020,1,2020-01-01,Pandemic
2020-01-09,London,SO2,3,2020,1,2020-01-01,Pandemic
2020-01-09,London,CO,0.1,2020,1,2020-01-01,Pandemic
2020-01-09,London,PM10,8,2020,1,2020-01-01,Pandemic
2020-01-09,London,PM2.5,4,2020,1,2020-01-01,Pandemic
2020-01-09,Manchester,O3,30,2020,1,2020-01-01,Pandemic
2020-01-09,Manchester,NO2,35,2020,1,2020-01-01,Pandemic
2020-01-09,Manchester,SO2,1,2020,1,2020-01-01,Pandemic
2020-01-09,Manchester,PM10,10,2020,1,2020-01-01,Pandemic
2020-01-09,Manchester,PM2.5,5,2020,1,2020-01-01,Pandemic
2020-01-09,Sheffield,NO2,19,2020,1,2020-01-01,Pandemic
2020-01-09,Sheffield,PM10,7,2020,1,2020-01-01,Pandemic
2020-01-09,Sheffield,PM2.5,5,2020,1,2020-01-01,Pandemic
2020-01-10,Edinburgh,O3,54,2020,1,2020-01-01,Pandemic
2020-01-10,Edinburgh,NO2,24,2020,1,2020-01-01,Pandemic
2020-01-10,Edinburgh,CO,0.086,2020,1,2020-01-01,Pandemic
2020-01-10,Edinburgh,PM10,7,2020,1,2020-01-01,Pandemic
2020-01-10,Edinburgh,PM2.5,4,2020,1,2020-01-01,Pandemic
2020-01-10,London,NO2,28,2020,1,2020-01-01,Pandemic
2020-01-10,London,SO2,3,2020,1,2020-01-01,Pandemic
2020-01-10,London,CO,0.16,2020,1,2020-01-01,Pandemic
2020-01-10,London,PM10,9,2020,1,2020-01-01,Pandemic
2020-01-10,London,PM2.5,6,2020,1,2020-01-01,Pandemic
2020-01-10,Manchester,O3,26,2020,1,2020-01-01,Pandemic
2020-01-10,Manchester,NO2,46,2020,1,2020-01-01,Pandemic
2020-01-10,Manchester,SO2,1,2020,1,2020-01-01,Pandemic
2020-01-10,Manchester,PM10,16,2020,1,2020-01-01,Pandemic
2020-01-10,Manchester,PM2.5,7,2020,1,2020-01-01,Pandemic
2020-01-10,Sheffield,O3,48,2020,1,2020-01-01,Pandemic
2020-01-10,Sheffield,NO2,24,2020,1,2020-01-01,Pandemic
2020-01-10,Sheffield,PM10,10,2020,1,2020-01-01,Pandemic
2020-01-10,Sheffield,PM2.5,5,2020,1,2020-01-01,Pandemic
2020-01-11,Edinburgh,O3,73,2020,1,2020-01-01,Pandemic
2020-01-11,Edinburgh,NO2,10,2020,1,2020-01-01,Pandemic
2020-01-11,Edinburgh,CO,0.059,2020,1,2020-01-01,Pandemic
2020-01-11,Edinburgh,PM10,2,2020,1,2020-01-01,Pandemic
2020-01-11,Edinburgh,PM2.5,1,2020,1,2020-01-01,Pandemic
2020-01-11,London,O3,68,2020,1,2020-01-01,Pandemic
2020-01-11,London,NO2,11,2020,1,2020-01-01,Pandemic
2020-01-11,London,SO2,3,2020,1,2020-01-01,Pandemic
2020-01-11,London,CO,0.11,2020,1,2020-01-01,Pandemic
2020-01-11,London,PM10,12,2020,1,2020-01-01,Pandemic
2020-01-11,London,PM2.5,6,2020,1,2020-01-01,Pandemic
2020-01-11,Manchester,O3,41,2020,1,2020-01-01,Pandemic
2020-01-11,Manchester,NO2,29,2020,1,2020-01-01,Pandemic
2020-01-11,Manchester,SO2,1,2020,1,2020-01-01,Pandemic
2020-01-11,Manchester,PM10,6,2020,1,2020-01-01,Pandemic
2020-01-11,Manchester,PM2.5,3,2020,1,2020-01-01,Pandemic
2020-01-11,Sheffield,O3,63,2020,1,2020-01-01,Pandemic
2020-01-11,Sheffield,NO2,13,2020,1,2020-01-01,Pandemic
2020-01-11,Sheffield,PM10,5,2020,1,2020-01-01,Pandemic
2020-01-11,Sheffield,PM2.5,3,2020,1,2020-01-01,Pandemic
2020-01-12,Edinburgh,O3,66,2020,1,2020-01-01,Pandemic
2020-01-12,Edinburgh,NO2,13,2020,1,2020-01-01,Pandemic
2020-01-12,Edinburgh,CO,0.046,2020,1,2020-01-01,Pandemic
2020-01-12,Edinburgh,PM10,6,2020,1,2020-01-01,Pandemic
2020-01-12,Edinburgh,PM2.5,3,2020,1,2020-01-01,Pandemic
2020-01-12,London,O3,61,2020,1,2020-01-01,Pandemic
2020-01-12,London,NO2,15,2020,1,2020-01-01,Pandemic
2020-01-12,London,SO2,1,2020,1,2020-01-01,Pandemic
2020-01-12,London,CO,0.11,2020,1,2020-01-01,Pandemic
2020-01-12,London,PM10,6,2020,1,2020-01-01,Pandemic
2020-01-12,London,PM2.5,3,2020,1,2020-01-01,Pandemic
2020-01-12,Manchester,O3,31,2020,1,2020-01-01,Pandemic
2020-01-12,Manchester,NO2,31,2020,1,2020-01-01,Pandemic
2020-01-12,Manchester,SO2,1,2020,1,2020-01-01,Pandemic
