Site Type,Urban Background,,,,,,,,,,,,Urban Background,,,,,,,,,,,,Urban Background,,,,,,,,,,Urban Background,,,,,,,
Zone,Central Scotland,,,,,,,,,,,,Greater London,,,,,,,,,,,,North West & Merseyside,,,,,,,,,,Yorkshire & Humberside,,,,,,,
Agglomeration,Edinburgh Urban Area,,,,,,,,,,,,Greater London Urban Area,,,,,,,,,,,,Greater Manchester Urban Area,,,,,,,,,,Sheffield Urban Area,,,,,,,
Local Authority,Edinburgh,,,,,,,,,,,,Kensington,,,,,,,,,,,,Manchester,,,,,,,,,,Sheffield,,,,,,,
Date,Ozone,Status,Nitrogen dioxide,Status,Sulphur dioxide,Status,Carbon monoxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,Sulphur dioxide,Status,Carbon monoxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,Sulphur dioxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status
2/2/2020,52,V ugm-3,20,V ugm-3,No data,V ugm-3,0.064,V mgm-3,5,V ugm-3 (FIDAS),3,V ugm-3 (Ref.eq),61,V ugm-3,16,V ugm-3,2,V ugm-3,0.11,V mgm-3,15,V ugm-3 (FIDAS),9,V ugm-3 (Ref.eq),31,V ugm-3,35,V ugm-3,2,V ugm-3,13,V ugm-3 (FIDAS),8,V ugm-3 (Ref.eq),58,V ugm-3,16,V ugm-3,11,V ugm-3 (FIDAS),7,V ugm-3 (Ref.eq)
2/3/2020,71,V ugm-3,16,V ugm-3,No data,V ugm-3,0.071,V mgm-3,10,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),59,V ugm-3,20,V ugm-3,1,V ugm-3,0.12,V mgm-3,15,V ugm-3 (FIDAS),8,V ugm-3 (Ref.eq),50,V ugm-3,24,V ugm-3,1,V ugm-3,20,V ugm-3 (FIDAS),8,V ugm-3 (Ref.eq),71,V ugm-3,11,V ugm-3,12,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq)
2/4/2020,47,V ugm-3,41,V ugm-3,No data,V ugm-3,0.12,V mgm-3,10,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),51,V ugm-3,23,V ugm-3,3,V ugm-3,0.14,V mgm-3,12,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq),43,V ugm-3,30,V ugm-3,2,V ugm-3,20,V ugm-3 (FIDAS),10,V ugm-3 (Ref.eq),55,V ugm-3,22,V ugm-3,12,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq)
2/5/2020,53,V ugm-3,27,V ugm-3,No data,V ugm-3,0.062,V mgm-3,12,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq),7,V ugm-3,56,V ugm-3,3,V ugm-3,0.22,V mgm-3,25,V ugm-3 (FIDAS),16,V ugm-3 (Ref.eq),10,V ugm-3,61,V ugm-3,2,V ugm-3,31,V ugm-3 (FIDAS),18,V ugm-3 (Ref.eq),20,V ugm-3,48,V ugm-3,20,V ugm-3 (FIDAS),12,V ugm-3 (Ref.eq)
2/6/2020,38,V ugm-3,32,V ugm-3,No data,V ugm-3,0.087,V mgm-3,14,V ugm-3 (FIDAS),10,V ugm-3 (Ref.eq),5,V ugm-3,63,V ugm-3,4,V ugm-3,0.25,V mgm-3,24,V ugm-3 (FIDAS),18,V ugm-3 (Ref.eq),4,V ugm-3,67,V ugm-3,3,V ugm-3,33,V ugm-3 (FIDAS),21,V ugm-3 (Ref.eq),10,V ugm-3,56,V ugm-3,30,V ugm-3 (FIDAS),21,V ugm-3 (Ref.eq)
2/7/2020,22,V ugm-3,45,V ugm-3,No data,V ugm-3,0.15,V mgm-3,17,V ugm-3 (FIDAS),11,V ugm-3 (Ref.eq),21,V ugm-3,43,V ugm-3,5,V ugm-3,0.18,V mgm-3,29,V ugm-3 (FIDAS),21,V ugm-3 (Ref.eq),10,V ugm-3,51,V ugm-3,2,V ugm-3,32,V ugm-3 (FIDAS),22,V ugm-3 (Ref.eq),18,V ugm-3,41,V ugm-3,36,V ugm-3 (FIDAS),26,V ugm-3 (Ref.eq)
2/8/2020,72,V ugm-3,8,V ugm-3,No data,V ugm-3,0.061,V mgm-3,6,V ugm-3 (FIDAS),3,V ugm-3 (Ref.eq),59,V ugm-3,17,V ugm-3,2,V ugm-3,0.12,V mgm-3,15,V ugm-3 (FIDAS),8,V ugm-3 (Ref.eq),41,V ugm-3,26,V ugm-3,2,V ugm-3,16,V ugm-3 (FIDAS),8,V ugm-3 (Ref.eq),63,V ugm-3,12,V ugm-3,14,V ugm-3 (FIDAS),7,V ugm-3 (Ref.eq)
2/9/2020,72,V ugm-3,16,V ugm-3,No data,V ugm-3,0.076,V mgm-3,5,V ugm-3 (FIDAS),3,V ugm-3 (Ref.eq),76,V ugm-3,5,V ugm-3,4,V ugm-3,0.11,V mgm-3,10,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq),59,V ugm-3,12,V ugm-3,3,V ugm-3,8,V ugm-3 (FIDAS),4,V ugm-3 (Ref.eq),72,V ugm-3,6,V ugm-3,5,V ugm-3 (FIDAS),3,V ugm-3 (Ref.eq)
2/10/2020,74,V ugm-3,15,V ugm-3,No data,V ugm-3,0.055,V mgm-3,4,V ugm-3 (FIDAS),2,V ugm-3 (Ref.eq),69,V ugm-3,13,V ugm-3,3,V ugm-3,0.1,V mgm-3,9,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),57,V ugm-3,22,V ugm-3,1,V ugm-3,17,V ugm-3 (FIDAS),7,V ugm-3 (Ref.eq),72,V ugm-3,10,V ugm-3,10,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq)
2/11/2020,69,V ugm-3,19,V ugm-3,No data,V ugm-3,0.068,V mgm-3,8,V ugm-3 (FIDAS),4,V ugm-3 (Ref.eq),69,V ugm-3,15,V ugm-3,2,V ugm-3,0.12,V mgm-3,12,V ugm-3 (FIDAS),6,V ugm-3 (Ref.eq),60,V ugm-3,19,V ugm-3,3,V ugm-3,19,V ugm-3 (FIDAS),8,V ugm-3 (Ref.eq),73,V ugm-3,8,V ugm-3,11,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq)
